departure,arrival,time_of_year,price
CLE,BWI,2026.5,193.3205
CLE,DCA,2026.5,206.96299999999988
CLE,IAD,2026.5,212.54700000000008
CAK,STL,2026.5,299.9913999999998
CLE,STL,2026.5,204.00300000000004
CAK,MYR,2026.5,306.4900999999998
CLE,MYR,2026.5,121.86589999999984
CAK,HOU,2026.5,542.6682999999999
CAK,IAH,2026.5,340.27929999999964
CLE,HOU,2026.5,211.14880000000016
CLE,IAH,2026.5,255.54049999999967
CAK,MCO,2026.5,131.75319999999988
CLE,MCO,2026.5,162.31549999999967
CAK,MSP,2026.5,303.70250000000016
CLE,MSP,2026.5,322.8744999999996
CAK,EWR,2026.5,319.52029999999945
CAK,HPN,2026.5,263.2082000000005
CAK,JFK,2026.5,287.48009999999965
CAK,LGA,2026.5,291.72249999999974
CLE,EWR,2026.5,197.09099999999992
CLE,HPN,2026.5,231.58650000000023
CLE,ISP,2026.5,227.92980000000009
CLE,JFK,2026.5,189.76369999999991
CLE,LGA,2026.5,198.21769999999975
CLE,SWF,2026.5,105.8936999999999
CAK,RSW,2026.5,189.1898
CLE,RSW,2026.5,188.29829999999984
CAK,LAS,2026.5,176.62770000000026
CLE,LAS,2026.5,200.40710000000036
CAK,OAK,2026.5,336.67049999999983
CAK,SFO,2026.5,435.1409000000008
CAK,SJC,2026.5,354.1996999999994
CLE,OAK,2026.5,237.9005000000003
CLE,SFO,2026.5,326.32130000000006
CLE,SJC,2026.5,323.9254000000003
CAK,FLL,2026.5,180.40359999999987
CAK,MIA,2026.5,263.6398999999998
CLE,FLL,2026.5,192.95030000000008
CLE,MIA,2026.5,182.94980000000007
CAK,BUR,2026.5,662.613599999999
CAK,LAX,2026.5,329.8766999999997
CAK,LGB,2026.5,478.99979999999977
CAK,ONT,2026.5,406.8573999999998
CAK,SNA,2026.5,362.1375999999999
CLE,BUR,2026.5,296.04400000000027
CLE,LAX,2026.5,282.3041000000001
CLE,LGB,2026.5,213.9258
CLE,ONT,2026.5,293.8572999999998
CLE,SNA,2026.5,380.6948999999999
CAK,TPA,2026.5,133.1743999999997
CLE,PIE,2026.5,102.56300000000005
CLE,TPA,2026.5,152.1163999999998
CAK,SAN,2026.5,457.13519999999977
CLE,SAN,2026.5,294.4830000000003
CAK,PHL,2026.5,297.47290000000004
CLE,PHL,2026.5,234.93790000000013
CAK,SRQ,2026.5,163.7039999999998
CLE,SRQ,2026.5,176.24460000000016
BNA,PHX,2026.5,265.03660000000013
BNA,BWI,2026.5,223.6316999999997
BNA,DCA,2026.5,181.7212000000004
BNA,IAD,2026.5,192.43160000000012
BNA,EWR,2026.5,186.03340000000023
BNA,HPN,2026.5,222.3965
BNA,ISP,2026.5,215.6724000000002
BNA,JFK,2026.5,188.0918000000003
BNA,LGA,2026.5,184.26000000000036
BNA,SWF,2026.5,126.22559999999996
BNA,OAK,2026.5,282.2439000000004
BNA,SFO,2026.5,346.5933000000005
BNA,SJC,2026.5,293.3069000000005
BNA,PIE,2026.5,83.1148000000001
BNA,TPA,2026.5,192.0368000000001
BOI,DAL,2026.5,234.68140000000025
BOI,DFW,2026.5,354.4877999999998
BOI,AZA,2026.5,109.07150000000006
BOI,PHX,2026.5,217.8637000000001
BOI,MDW,2026.5,228.1406000000001
BOI,ORD,2026.5,202.56299999999996
BOI,EWR,2026.5,123.21460000000005
BOI,HPN,2026.5,245.71059999999997
BOI,JFK,2026.5,126.34710000000004
BOI,LGA,2026.5,128.26840000000004
BOI,OAK,2026.5,169.6662999999999
BOI,SFO,2026.5,200.54709999999983
BOI,SJC,2026.5,206.29450000000023
